player_id,first_name,last_name,birth_date,is_active,current_team_id,position,shoots_catches,height_inches,height_cm,weight_lbs,weight_kg,birth_city,birth_state_prov,birth_country,draft_year,draft_team,draft_round,draft_pick_in_round,draft_overall_pick,head_shot,hero_image
8482703,Colton,Dach,2003-01-04,TRUE,22,C,L,76,193,218,99,St. Albert,Alberta,CAN,2021,CHI,2,30,62,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482703.jpg
8482807,Ethan,Del Mastro,2003-01-15,TRUE,16,D,L,76,193,210,95,Burlington,Ontario,CAN,2021,CHI,4,9,105,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482807.jpg
8483450,Ryan,Greene,2003-10-21,TRUE,16,C,R,73,185,195,88,St. John's,Newfoundland and Labrador,CAN,2022,CHI,2,25,57,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8483450.jpg
8483493,Frank,Nazar,2004-01-14,TRUE,16,C,R,70,178,190,86,Detroit,Michigan,USA,2022,CHI,1,13,13,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8483493.jpg
8483506,Sam,Rinzel,2004-06-25,TRUE,16,D,R,76,193,194,88,Chanhassen,Minnesota,USA,2022,CHI,1,25,25,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8483506.jpg
8484144,Connor,Bedard,2005-07-17,TRUE,16,C,R,70,178,190,86,North Vancouver,British Columbia,CAN,2023,CHI,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8484144.jpg
8484783,Artyom,Levshunov,2005-10-28,TRUE,16,D,R,74,188,208,94,Zhlobin,NaN,BLR,2024,CHI,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8484783.jpg
8471215,Evgeni,Malkin,1986-07-31,TRUE,5,C,L,77,196,213,97,Magnitogorsk,NaN,RUS,2004,PIT,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8471215.jpg
8471675,Sidney,Crosby,1987-08-07,TRUE,5,C,L,71,180,200,91,Cole Harbour,Nova Scotia,CAN,2005,PIT,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8471675.jpg
8471724,Kris,Letang,1987-04-24,TRUE,5,D,R,72,183,199,90,Montreal,Quebec,CAN,2005,PIT,3,1,62,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8471724.jpg
8474578,Erik,Karlsson,1990-05-31,TRUE,5,D,R,72,183,185,84,Landsbro,NaN,SWE,2008,OTT,1,15,15,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8474578.jpg
8475842,Sam,Carrick,1992-02-04,TRUE,7,C,R,72,183,202,92,Stouffville,Ontario,CAN,2010,TOR,5,24,144,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475842.jpg
8476389,Vincent,Trocheck,1993-07-11,TRUE,3,C,R,71,180,187,85,Pittsburgh,Pennsylvania,USA,2011,FLA,3,3,64,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476389.jpg
8476459,Mika,Zibanejad,1993-04-18,TRUE,3,C,R,74,188,208,94,Stockholm,NaN,SWE,2011,OTT,1,6,6,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476459.jpg
8476468,J.T.,Miller,1993-03-14,TRUE,3,C,L,72,183,211,96,East Palestine,Ohio,USA,2011,NYR,1,15,15,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476468.jpg
8476483,Rickard,Rakell,1993-05-05,TRUE,5,R,R,73,185,194,88,Sundbyberg,NaN,SWE,2011,ANA,1,30,30,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476483.jpg
8477369,Carson,Soucy,1994-07-27,TRUE,2,D,L,76,193,211,96,Viking,Alberta,CAN,2013,MIN,5,16,137,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477369.jpg
8477511,Anthony,Mantha,1994-09-16,TRUE,5,R,L,77,196,240,109,Longueuil,Quebec,CAN,2013,DET,1,20,20,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477511.jpg
8477839,Conor,Sheary,1992-06-08,TRUE,3,L,L,68,173,180,82,Winchester,Massachusetts,USA,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477839.jpg
8478438,Tommy,Novak,1997-04-28,TRUE,5,C,L,73,185,190,86,St. Paul,Minnesota,USA,2015,NSH,3,24,85,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478438.jpg
8478450,Parker,Wotherspoon,1997-08-24,TRUE,5,D,L,73,185,190,86,Surrey,British Columbia,CAN,2015,NYI,4,21,112,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478450.jpg
8478452,Caleb,Jones,1997-06-06,TRUE,5,D,L,73,185,184,83,Arlington,Texas,USA,2015,EDM,4,26,117,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478452.jpg
8478550,Artemi,Panarin,1991-10-30,TRUE,26,L,R,72,183,176,80,Korkino,NaN,RUS,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478550.jpg
8478569,Noel,Acciari,1991-12-01,TRUE,5,C,R,71,180,204,93,Johnston,Rhode Island,USA,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478569.jpg
8478840,Will,Borgen,1996-12-19,TRUE,3,D,R,75,191,199,90,Moorhead,Minnesota,USA,2015,BUF,4,1,92,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478840.jpg
8478854,Ryan,Shea,1997-02-11,TRUE,5,D,L,73,185,200,91,Milton,Massachusetts,USA,2015,CHI,4,30,121,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478854.jpg
8478882,Vladislav,Gavrikov,1995-11-21,TRUE,3,D,L,75,191,210,95,Yaroslavl,NaN,RUS,2015,CBJ,6,8,159,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478882.jpg
8479323,Adam,Fox,1998-02-17,TRUE,3,D,R,71,180,185,84,Jericho,New York,USA,2016,CGY,3,5,66,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479323.jpg
8479390,Taylor,Raddysh,1998-02-18,TRUE,3,R,R,74,188,201,91,Caledon,Ontario,CAN,2016,TBL,2,28,58,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479390.jpg
8479638,Justin,Brazeau,1998-02-02,TRUE,5,R,R,78,198,232,105,New Liskeard,Ontario,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479638.jpg
8480001,Urho,Vaakanainen,1999-01-01,TRUE,3,D,L,74,188,202,92,Joensuu,NaN,FIN,2017,BOS,1,18,18,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480001.jpg
8480980,Connor,Dewar,1999-06-26,TRUE,5,C,L,70,178,187,85,The Pas,Manitoba,CAN,2018,MIN,3,30,92,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480980.jpg
8481481,Blake,Lizotte,1997-12-13,TRUE,5,C,L,69,175,176,80,Lindstrom,Minnesota,USA,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481481.jpg
8481577,Philip,Tomasino,2001-07-28,TRUE,4,R,R,72,183,187,85,Mississauga,Ontario,CAN,2019,NSH,1,24,24,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481577.jpg
8481726,Adam,Edstrom,2000-10-12,TRUE,3,C,L,79,201,232,105,Karlstad,NaN,SWE,2019,NYR,6,6,161,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481726.jpg
8482073,Braden,Schneider,2001-09-20,TRUE,3,D,R,75,191,206,93,Prince Albert,Saskatchewan,CAN,2020,NYR,1,19,19,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482073.jpg
8482109,Alexis,Lafreniere,2001-10-11,TRUE,3,L,L,74,188,191,87,St-Eustache,Quebec,CAN,2020,NYR,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482109.jpg
8482157,Will,Cuylle,2002-02-05,TRUE,3,L,L,75,191,212,96,Toronto,Ontario,CAN,2020,NYR,2,29,60,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482157.jpg
8482460,Matt,Rempe,2002-06-29,TRUE,3,C,R,81,206,261,118,Calgary,Alberta,CAN,2020,NYR,6,10,165,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482460.jpg
8482758,Ville,Koivunen,2003-06-13,TRUE,5,R,L,72,183,184,83,Oulu,NaN,FIN,2021,CAR,2,19,51,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482758.jpg
8483690,Noah,Laba,2003-08-04,TRUE,3,C,R,75,191,214,97,Northville,Michigan,USA,2022,NYR,4,14,111,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8483690.jpg
8484839,Harrison,Brunicke,2006-05-08,TRUE,5,D,R,75,191,201,91,Johannesburg,NaN,ZAF,2024,PIT,2,12,44,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8484839.jpg
8485414,Ben,Kindel,2007-04-19,TRUE,5,C,R,71,180,182,83,Coquitlam,British Columbia,CAN,2025,PIT,1,11,11,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8485414.jpg
8470613,Brent,Burns,1985-03-09,TRUE,21,D,R,77,196,228,103,Barrie,Ontario,CAN,2003,MIN,1,20,20,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8470613.jpg
8471685,Anze,Kopitar,1987-08-24,TRUE,26,C,L,75,191,225,102,Jesenice,NaN,SVN,2005,LAK,1,11,11,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8471685.jpg
8474563,Drew,Doughty,1989-12-08,TRUE,26,D,R,73,185,210,95,London,Ontario,CAN,2008,LAK,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8474563.jpg
8475208,Brian,Dumoulin,1991-09-06,TRUE,26,D,L,76,193,215,98,Biddeford,Maine,USA,2009,CAR,2,21,51,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475208.jpg
8475754,Brock,Nelson,1991-10-15,TRUE,21,C,L,76,193,205,93,Warroad,Minnesota,USA,2010,NYI,1,30,30,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475754.jpg
8476312,Josh,Manson,1991-10-07,TRUE,21,D,R,75,191,218,99,Hinsdale,Illinois,USA,2011,ANA,6,9,160,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476312.jpg
8476441,Joel,Edmundson,1993-06-28,TRUE,26,D,L,77,196,220,100,Brandon,Manitoba,CAN,2011,STL,2,16,46,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476441.jpg
8476455,Gabriel,Landeskog,1992-11-23,TRUE,21,L,L,73,185,215,98,Stockholm,NaN,SWE,2011,COL,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476455.jpg
8476469,Joel,Armia,1993-05-31,TRUE,26,R,R,75,191,215,98,Pori,NaN,FIN,2011,BUF,1,16,16,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476469.jpg
8476479,Phillip,Danault,1993-02-24,TRUE,8,C,L,73,185,200,91,Victoriaville,Quebec,CAN,2011,CHI,1,26,26,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476479.jpg
8476879,Cody,Ceci,1993-12-21,TRUE,26,D,R,75,191,210,95,Ottawa,Ontario,CAN,2012,OTT,1,15,15,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476879.jpg
8477476,Artturi,Lehkonen,1995-07-04,TRUE,21,L,L,71,180,179,81,Piikkio,NaN,FIN,2013,MTL,2,25,55,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477476.jpg
8477492,Nathan,MacKinnon,1995-09-01,TRUE,21,C,R,72,183,200,91,Halifax,Nova Scotia,CAN,2013,COL,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477492.jpg
8477501,Valeri,Nichushkin,1995-03-04,TRUE,21,R,L,76,193,210,95,Chelyabinsk,NaN,RUS,2013,DAL,1,10,10,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477501.jpg
8477942,Kevin,Fiala,1996-07-22,TRUE,26,L,L,72,183,205,93,St. Gallen,NaN,CHE,2014,NSH,1,11,11,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477942.jpg
8477960,Adrian,Kempe,1996-09-13,TRUE,26,R,L,74,188,205,93,Kramfors,NaN,SWE,2014,LAK,1,29,29,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477960.jpg
8477998,Warren,Foegele,1996-04-01,TRUE,9,L,L,74,188,205,93,Markham,Ontario,CAN,2014,CAR,3,7,67,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477998.jpg
8478038,Devon,Toews,1994-02-21,TRUE,21,D,L,73,185,191,87,Abbotsford,British Columbia,CAN,2014,NYI,4,18,108,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478038.jpg
8478109,Victor,Olofsson,1995-07-18,TRUE,20,L,L,71,180,180,82,Ornskoldsvik,NaN,SWE,2014,BUF,7,1,181,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478109.jpg
8479398,Samuel,Girard,1998-05-12,TRUE,5,D,L,70,178,170,77,Roberval,Quebec,CAN,2016,NSH,2,17,47,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479398.jpg
8479525,Ross,Colton,1996-09-11,TRUE,21,C,L,72,183,194,88,Robbinsville,New Jersey,USA,2016,TBL,4,27,118,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479525.jpg
8479675,Trevor,Moore,1995-03-31,TRUE,26,L,L,71,180,195,88,Thousand Oaks,California,USA,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479675.jpg
8479998,Mikey,Anderson,1999-05-25,TRUE,26,D,L,72,183,195,88,Roseville,Minnesota,USA,2017,LAK,4,10,103,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479998.jpg
8480039,Martin,Necas,1999-01-15,TRUE,21,C,R,75,191,195,88,Nove Mesto na Morave,NaN,CZE,2017,CAR,1,12,12,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480039.jpg
8480069,Cale,Makar,1998-10-30,TRUE,21,D,R,72,183,187,85,Calgary,Alberta,CAN,2017,COL,1,4,4,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480069.jpg
8480448,Parker,Kelly,1999-05-14,TRUE,21,C,L,73,185,185,84,Camrose,Alberta,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480448.jpg
8480835,Jack,Drury,2000-02-03,TRUE,21,C,L,71,180,186,84,New York,New York,USA,2018,CAR,2,11,42,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480835.jpg
8481532,Alex,Turcotte,2001-02-26,TRUE,26,C,L,71,180,195,88,Elk Grove,Illinois,USA,2019,LAK,1,5,5,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481532.jpg
8481641,Joel,Kiviranta,1996-03-23,TRUE,21,L,L,71,180,185,84,Vantaa,NaN,FIN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481641.jpg
8482124,Quinton,Byfield,2002-08-19,TRUE,26,R,L,77,196,230,104,Newmarket,Ontario,CAN,2020,LAK,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482124.jpg
8482155,Alex,Laferriere,2001-10-28,TRUE,26,R,R,73,185,205,93,Chatham,New Jersey,USA,2020,LAK,3,21,83,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482155.jpg
8482408,Jeff,Malott,1996-08-07,TRUE,26,L,L,77,196,215,98,Burlington,Ontario,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482408.jpg
8482730,Brandt,Clarke,2003-02-09,TRUE,26,D,R,74,188,200,91,Nepean,Ontario,CAN,2021,LAK,1,8,8,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482730.jpg
8483808,Andrei,Kuzmenko,1996-02-04,TRUE,26,L,R,71,180,200,91,Yakutsk,NaN,RUS,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8483808.jpg
8484149,Gavin,Brindley,2004-10-05,TRUE,21,C,R,68,173,173,78,Fort Myers,Florida,USA,2023,CBJ,2,2,34,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8484149.jpg
8484258,Sam,Malinski,1998-07-27,TRUE,21,D,R,71,180,190,86,Lakeville,Minnesota,USA,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8484258.jpg
8475166,John,Tavares,1990-09-20,TRUE,10,C,L,73,185,217,98,Mississauga,Ontario,CAN,2009,NYI,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475166.jpg
8475171,Oliver,Ekman-Larsson,1991-07-17,TRUE,10,D,L,74,188,190,86,Karlskrona,NaN,SWE,2009,PHX,1,6,6,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475171.jpg
8475690,Chris,Tanev,1989-12-20,TRUE,10,D,R,75,191,200,91,Toronto,Ontario,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475690.jpg
8475714,Calle,Jarnkrok,1991-09-25,TRUE,10,C,R,72,183,193,88,Gavle,NaN,SWE,2010,DET,2,21,51,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475714.jpg
8475848,Brendan,Gallagher,1992-05-06,TRUE,8,R,R,69,175,185,84,Edmonton,Alberta,CAN,2010,MTL,5,27,147,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475848.jpg
8476853,Morgan,Rielly,1994-03-09,TRUE,10,D,L,73,185,219,99,Vancouver,British Columbia,CAN,2012,TOR,1,5,5,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476853.jpg
8476875,Mike,Matheson,1994-02-27,TRUE,8,D,L,74,188,196,89,Pointe-Claire,Quebec,CAN,2012,FLA,1,23,23,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476875.jpg
8476931,Jake,McCabe,1993-10-12,TRUE,10,D,L,73,185,210,95,Eau Claire,Wisconsin,USA,2012,BUF,2,14,44,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476931.jpg
8476981,Josh,Anderson,1994-05-07,TRUE,8,R,R,75,191,226,103,Burlington,Ontario,CAN,2012,CBJ,4,4,95,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476981.jpg
8477503,Max,Domi,1995-03-02,TRUE,10,C,L,70,178,208,94,Winnipeg,Manitoba,CAN,2013,PHX,1,12,12,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477503.jpg
8477939,William,Nylander,1996-05-01,TRUE,10,R,R,72,183,200,91,Calgary,Alberta,CAN,2014,TOR,1,8,8,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477939.jpg
8478057,Dakota,Joshua,1996-05-15,TRUE,10,C,L,75,191,218,99,Dearborn,Michigan,USA,2014,TOR,5,8,128,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478057.jpg
8478133,Jake,Evans,1996-06-02,TRUE,8,C,R,72,183,190,86,Toronto,Ontario,CAN,2014,MTL,7,27,207,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478133.jpg
8478443,Brandon,Carlo,1996-11-26,TRUE,10,D,R,77,196,227,103,Colorado Springs,Colorado,USA,2015,BOS,2,7,37,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478443.jpg
8478462,Nicolas,Roy,1997-02-05,TRUE,21,C,R,76,193,200,91,Amos,Quebec,CAN,2015,CAR,4,5,96,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478462.jpg
8478851,Alexandre,Carrier,1996-10-08,TRUE,8,D,R,71,180,174,79,Quebec City,Quebec,CAN,2015,NSH,4,24,115,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478851.jpg
8478904,Steven,Lorentz,1996-04-13,TRUE,10,C,L,76,193,219,99,Kitchener,Ontario,CAN,2015,CAR,7,5,186,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478904.jpg
8479318,Auston,Matthews,1997-09-17,TRUE,10,C,L,75,191,215,98,San Ramon,California,USA,2016,TOR,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479318.jpg
8479339,Patrik,Laine,1998-04-19,TRUE,8,R,R,76,193,208,94,Tampere,NaN,FIN,2016,WPG,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479339.jpg
8480018,Nick,Suzuki,1999-08-10,TRUE,8,C,R,71,180,207,94,London,Ontario,CAN,2017,VGK,1,13,13,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480018.jpg
8480865,Noah,Dobson,2000-01-07,TRUE,8,D,R,76,193,200,91,Summerside,Prince Edward Island,CAN,2018,NYI,1,12,12,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480865.jpg
8481122,Simon,Benoit,1998-09-19,TRUE,10,D,L,76,193,210,95,Laval,Quebec,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481122.jpg
8481523,Kirby,Dach,2001-01-21,TRUE,8,C,R,76,193,221,100,Fort Saskatchewan,Alberta,CAN,2019,CHI,1,3,3,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481523.jpg
