game_id,game_date,venue,venue_location,a_team_id,h_team_id,a_team_code,h_team_code,a_team_score,h_team_score,a_sog,h_sog,a_fo_win_perc,h_fo_win_perc,a_pp_perc,h_pp_perc,a_pim,h_pim,a_hits,h_hits,a_blocked_shots,h_blocked_shots,a_giveaways,h_giveaways,a_takeaways,h_takeaways,a_ppg,h_ppg,a_total_pp,h_total_pp
2025020033,2025-10-11,Grand Casino Arena,St. Paul,29,30,CBJ,MIN,7,4,32,52,0.619718,0.380282,0.333333,0.5,16,6,16,18,16,19,11,14,6,6,1,4,3,8
2025020034,2025-10-11,Ball Arena,Denver,25,21,DAL,COL,5,4,22,39,0.526316,0.473684,0.0,0.2,15,9,17,19,25,8,22,15,3,4,0,1,2,5
2025020035,2025-10-11,Rogers Place,Edmonton,23,22,VAN,EDM,1,3,15,37,0.444444,0.555556,0.0,0.0,12,6,26,22,14,13,21,15,3,2,0,0,2,5
2025020036,2025-10-11,SAP Center at San Jose,San Jose,24,28,ANA,SJS,7,6,44,23,0.421053,0.578947,0.5,0.5,13,13,24,20,12,18,15,20,3,3,2,2,4,4
2025020037,2025-10-11,Climate Pledge Arena,Seattle,54,55,VGK,SEA,1,2,27,22,0.586207,0.413793,0.333333,0.333333,11,11,22,30,14,20,20,17,3,2,1,1,3,3
2025020038,2025-10-12,Madison Square Garden,New York,15,3,WSH,NYR,1,0,21,35,0.346939,0.653061,0.0,0.0,4,2,26,18,18,15,18,16,3,6,0,0,1,2
2025020039,2025-10-13,KeyBank Center,Buffalo,21,7,COL,BUF,3,1,37,28,0.564516,0.435484,0.0,0.0,8,10,20,11,21,11,18,20,5,7,0,0,4,3
2025020040,2025-10-13,TD Garden,Boston,14,6,TBL,BOS,4,3,23,33,0.316667,0.683333,0.0,0.0,14,8,21,31,14,12,21,16,9,6,0,0,2,5
2025020041,2025-10-13,Canadian Tire Centre,Ottawa,18,9,NSH,OTT,4,1,26,32,0.285714,0.714286,0.0,0.2,10,12,20,29,14,15,12,18,3,3,0,1,6,5
2025020042,2025-10-13,UBS Arena,Elmont,52,2,WPG,NYI,5,2,26,35,0.568627,0.431373,0.333333,0.0,10,6,16,14,24,13,13,12,4,3,1,0,3,5
2025020043,2025-10-13,Scotiabank Arena,Toronto,17,10,DET,TOR,3,2,15,40,0.393443,0.606557,0.25,0.0,6,10,18,22,20,10,16,22,11,7,1,0,4,2
2025020044,2025-10-13,Xfinity Mobile Arena,Philadelphia,13,4,FLA,PHI,2,5,26,22,0.509804,0.490196,0.2,0.0,10,10,24,8,15,14,17,14,2,4,1,0,5,5
2025020045,2025-10-13,Nationwide Arena,Columbus,1,29,NJD,CBJ,3,2,28,33,0.41791,0.58209,1.0,0.0,10,4,15,18,18,12,19,21,5,3,2,0,2,5
2025020046,2025-10-13,Rogers Arena,Vancouver,19,23,STL,VAN,5,2,36,29,0.478261,0.521739,0.333333,0.0,2,6,22,29,17,17,16,24,8,6,1,0,3,1
2025020047,2025-10-13,Grand Casino Arena,St. Paul,26,30,LAK,MIN,3,4,34,26,0.485714,0.514286,0.333333,0.5,12,6,24,23,10,11,22,20,6,9,1,3,3,6
2025020048,2025-10-13,United Center,Chicago,68,16,UTA,CHI,1,3,22,14,0.54717,0.45283,0.0,0.333333,6,6,16,31,3,14,17,16,1,2,0,1,3,3
2025020049,2025-10-14,Scotiabank Arena,Toronto,18,10,NSH,TOR,4,7,30,28,0.491525,0.508475,0.0,0.0,6,6,18,21,11,20,17,17,4,4,0,0,2,2
2025020050,2025-10-14,Centre Bell,Montreal,55,8,SEA,MTL,4,5,22,22,0.4375,0.5625,0.25,0.0,6,8,32,25,17,23,14,13,5,3,1,0,4,2
2025020051,2025-10-14,Madison Square Garden,New York,22,3,EDM,NYR,2,0,22,30,0.534884,0.465116,0.0,0.0,6,0,12,18,23,11,18,13,6,2,0,0,0,3
2025020052,2025-10-14,Capital One Arena,Washington,14,15,TBL,WSH,2,3,19,28,0.464286,0.535714,0.5,0.333333,10,8,8,23,17,8,19,14,2,4,1,1,2,3
2025020053,2025-10-14,Scotiabank Saddledome,Calgary,54,20,VGK,CGY,4,2,30,29,0.569231,0.430769,0.0,0.0,4,6,26,23,11,18,13,12,6,6,0,0,2,1
2025020054,2025-10-14,American Airlines Center,Dallas,30,25,MIN,DAL,2,5,41,25,0.460317,0.539683,0.5,1.0,11,25,26,15,16,17,11,15,4,5,2,2,4,2
2025020055,2025-10-14,SAP Center at San Jose,San Jose,12,28,CAR,SJS,5,1,43,17,0.555556,0.444444,0.0,0.0,12,8,13,21,8,18,23,15,5,4,0,0,3,5
2025020056,2025-10-14,Honda Center,Anaheim,5,24,PIT,ANA,3,4,25,22,0.481481,0.518519,0.0,0.333333,12,2,16,25,26,16,12,14,3,1,0,2,1,6
2025020057,2025-10-15,KeyBank Center,Buffalo,9,7,OTT,BUF,4,8,37,27,0.649123,0.350877,0.2,1.0,10,14,21,28,10,20,15,14,5,6,1,3,5,3
2025020058,2025-10-15,Little Caesars Arena,Detroit,13,17,FLA,DET,1,4,21,25,0.442623,0.557377,0.0,0.333333,6,4,32,15,9,21,15,23,2,3,0,1,2,3
2025020059,2025-10-15,Enterprise Center,St. Louis,16,19,CHI,STL,8,3,29,26,0.555556,0.444444,0.333333,0.0,4,6,9,28,9,10,23,15,11,1,1,0,3,2
2025020060,2025-10-15,Delta Center,Salt Lake City,20,68,CGY,UTA,1,3,20,32,0.566038,0.433962,0.25,0.0,21,17,21,25,14,17,11,10,5,2,1,0,4,6
2025020061,2025-10-16,Scotiabank Arena,Toronto,3,10,NYR,TOR,1,2,29,24,0.527273,0.472727,0.0,0.5,4,6,22,18,10,13,13,21,6,2,0,1,3,2
2025020062,2025-10-16,Centre Bell,Montreal,18,8,NSH,MTL,2,3,19,30,0.553191,0.446809,0.5,0.0,6,4,16,13,12,17,16,12,4,5,1,0,2,3
2025020063,2025-10-16,Canadian Tire Centre,Ottawa,55,9,SEA,OTT,3,4,33,23,0.457627,0.542373,0.333333,0.5,4,6,27,19,21,18,17,16,7,4,1,1,3,2
2025020064,2025-10-16,Prudential Center,Newark,13,1,FLA,NJD,1,3,22,33,0.56,0.44,0.0,0.2,12,12,27,22,18,20,14,10,3,4,0,1,5,5
2025020065,2025-10-16,UBS Arena,Elmont,22,2,EDM,NYI,2,4,33,25,0.568966,0.431034,0.25,0.2,10,8,7,18,13,13,17,12,5,5,1,1,4,5
2025020066,2025-10-16,Xfinity Mobile Arena,Philadelphia,52,4,WPG,PHI,5,2,15,17,0.533333,0.466667,1.0,0.0,8,2,17,15,9,16,14,16,3,4,1,0,1,3
2025020067,2025-10-16,Nationwide Arena,Columbus,21,29,COL,CBJ,4,1,36,23,0.54717,0.45283,0.0,0.0,4,2,13,12,14,20,20,22,6,2,0,0,1,2
2025020068,2025-10-16,American Airlines Center,Dallas,23,25,VAN,DAL,5,3,26,31,0.425926,0.574074,0.666667,0.5,8,6,26,21,15,20,12,11,3,4,2,2,3,4
2025020069,2025-10-16,T-Mobile Arena,Paradise,6,54,BOS,VGK,5,6,24,37,0.492958,0.507042,0.333333,0.333333,12,6,26,20,20,22,14,13,5,3,1,2,3,6
2025020070,2025-10-16,Honda Center,Anaheim,12,24,CAR,ANA,4,1,32,24,0.413793,0.586207,0.333333,0.0,14,10,19,31,16,16,22,15,4,1,1,0,3,4
2025020071,2025-10-16,Crypto.com Arena,Los Angeles,5,26,PIT,LAK,4,2,26,32,0.390244,0.609756,0.5,0.0,4,4,13,23,15,10,15,16,0,3,1,0,2,2
2025020072,2025-10-17,Little Caesars Arena,Detroit,14,17,TBL,DET,1,2,32,31,0.440678,0.559322,0.0,0.0,6,6,20,27,13,22,15,17,4,4,0,0,3,3
2025020073,2025-10-17,Capital One Arena,Washington,30,15,MIN,WSH,1,5,14,45,0.5,0.5,0.0,0.2,10,4,18,23,17,14,14,20,1,6,0,1,2,5
2025020074,2025-10-17,United Center,Chicago,23,16,VAN,CHI,3,2,32,33,0.41791,0.58209,0.166667,0.333333,8,14,26,19,10,10,11,13,2,6,1,1,6,3
2025020075,2025-10-17,Delta Center,Salt Lake City,28,68,SJS,UTA,3,6,21,34,0.489796,0.510204,0.666667,0.25,20,18,25,14,12,8,18,17,7,4,2,1,3,4
2025020076,2025-10-18,KeyBank Center,Buffalo,13,7,FLA,BUF,0,3,32,31,0.5,0.5,0.0,0.5,12,28,29,23,17,20,15,13,3,4,0,2,7,4
2025020077,2025-10-18,Canadian Tire Centre,Ottawa,2,9,NYI,OTT,5,4,23,32,0.480769,0.519231,0.0,0.5,4,6,28,29,19,9,13,22,2,4,0,1,3,2
2025020078,2025-10-18,Prudential Center,Newark,22,1,EDM,NJD,3,5,30,23,0.58,0.42,0.0,0.333333,6,6,20,24,13,15,25,10,4,8,0,1,3,3
2025020079,2025-10-18,Scotiabank Arena,Toronto,55,10,SEA,TOR,4,3,28,30,0.381818,0.618182,0.5,0.25,8,4,26,29,19,15,19,28,7,2,1,1,2,4
2025020080,2025-10-18,Centre Bell,Montreal,3,8,NYR,MTL,4,3,22,24,0.482759,0.517241,0.5,0.5,13,13,24,16,13,11,11,13,4,4,1,1,2,2
2025020081,2025-10-18,Xfinity Mobile Arena,Philadelphia,30,4,MIN,PHI,1,2,16,21,0.489362,0.510638,0.0,0.0,9,11,19,32,15,16,14,15,1,4,0,0,3,2
2025020082,2025-10-18,Nationwide Arena,Columbus,14,29,TBL,CBJ,2,3,24,31,0.428571,0.571429,0.333333,0.0,15,17,14,23,15,18,21,18,3,3,1,0,3,2
2025020083,2025-10-18,Enterprise Center,St. Louis,25,19,DAL,STL,1,3,19,22,0.5,0.5,0.0,0.0,4,4,31,24,13,11,20,13,3,8,0,0,2,2
2025020084,2025-10-18,Canada Life Centre,Winnipeg,18,52,NSH,WPG,1,4,31,24,0.584906,0.415094,0.0,0.666667,11,13,19,16,7,16,10,12,5,2,0,2,4,3
2025020085,2025-10-18,Ball Arena,Denver,6,21,BOS,COL,1,4,14,38,0.541667,0.458333,0.0,0.0,10,4,24,12,29,17,18,12,1,3,0,0,2,5
2025020086,2025-10-18,Crypto.com Arena,Los Angeles,12,26,CAR,LAK,4,3,40,28,0.621622,0.378378,0.0,1.0,2,6,18,29,20,20,16,21,7,4,0,1,3,1
2025020087,2025-10-18,T-Mobile Arena,Paradise,20,54,CGY,VGK,1,6,27,28,0.490566,0.509434,0.333333,1.0,16,16,22,14,10,21,14,19,2,3,1,3,3,3
2025020088,2025-10-18,SAP Center at San Jose,San Jose,5,28,PIT,SJS,3,0,27,31,0.45,0.55,0.0,0.0,4,2,11,25,21,14,20,16,4,5,0,0,1,2
2025020089,2025-10-19,Capital One Arena,Washington,23,15,VAN,WSH,4,3,24,31,0.45098,0.54902,0.25,0.25,13,13,22,28,23,1,17,19,5,3,1,1,4,4
2025020090,2025-10-19,Little Caesars Arena,Detroit,22,17,EDM,DET,2,4,18,25,0.434783,0.565217,0.0,0.0,0,2,19,24,21,11,21,17,3,4,0,0,1,0
2025020091,2025-10-19,United Center,Chicago,24,16,ANA,CHI,1,2,39,30,0.444444,0.555556,0.2,0.0,6,10,30,26,9,12,18,18,8,5,1,0,5,3
2025020092,2025-10-19,Delta Center,Salt Lake City,6,68,BOS,UTA,2,3,26,27,0.59322,0.40678,0.25,0.2,17,15,24,23,19,21,18,20,8,3,1,1,4,5
2025020093,2025-10-20,Madison Square Garden,New York,30,3,MIN,NYR,3,1,32,24,0.491228,0.508772,0.0,0.0,2,6,20,34,19,21,12,11,3,2,0,0,3,1
2025020094,2025-10-20,Xfinity Mobile Arena,Philadelphia,55,4,SEA,PHI,2,5,23,27,0.428571,0.571429,0.166667,0.5,28,32,23,20,11,11,16,19,4,3,1,2,6,4
2025020095,2025-10-20,Centre Bell,Montreal,7,8,BUF,MTL,2,4,32,32,0.436364,0.563636,0.0,0.0,6,6,15,22,9,21,15,11,6,3,0,0,1,1
2025020096,2025-10-20,Scotiabank Saddledome,Calgary,52,20,WPG,CGY,2,1,27,33,0.644068,0.355932,0.2,0.0,10,10,15,22,19,11,19,18,3,4,1,0,5,5
2025020097,2025-10-20,T-Mobile Arena,Paradise,12,54,CAR,VGK,1,4,27,26,0.453125,0.546875,0.0,0.0,8,8,15,13,18,20,13,18,1,2,0,0,4,4
2025020098,2025-10-21,Scotiabank Arena,Toronto,1,10,NJD,TOR,5,2,35,25,0.490909,0.509091,0.5,0.0,11,11,21,22,17,16,25,17,6,7,1,0,2,2
2025020099,2025-10-21,Canadian Tire Centre,Ottawa,22,9,EDM,OTT,3,2,25,21,0.409091,0.590909,0.666667,0.333333,6,6,20,20,17,9,18,13,5,1,2,1,3,3
2025020100,2025-10-21,UBS Arena,Elmont,28,2,SJS,NYI,3,4,36,27,0.590909,0.409091,0.0,0.666667,6,6,22,18,6,19,21,21,4,4,0,2,3,3
2025020101,2025-10-21,PPG Paints Arena,Pittsburgh,23,5,VAN,PIT,1,5,24,26,0.327586,0.672414,0.0,0.4,10,6,26,18,20,17,19,17,2,4,0,2,3,5
2025020102,2025-10-21,Capital One Arena,Washington,55,15,SEA,WSH,1,4,19,34,0.520833,0.479167,0.0,0.5,4,4,13,18,19,16,15,14,4,8,0,1,2,2
2025020103,2025-10-21,TD Garden,Boston,13,6,FLA,BOS,4,3,23,31,0.446154,0.553846,0.333333,0.2,19,15,26,23,16,7,18,15,2,11,1,1,3,5
2025020104,2025-10-21,Enterprise Center,St. Louis,26,19,LAK,STL,2,1,28,18,0.465517,0.534483,0.333333,0.333333,11,11,13,20,14,9,19,12,7,3,1,1,3,3
2025020105,2025-10-21,Bridgestone Arena,Nashville,24,18,ANA,NSH,5,2,32,28,0.540984,0.459016,0.0,0.0,12,20,23,16,9,11,13,16,7,5,0,0,5,1
2025020106,2025-10-21,American Airlines Center,Dallas,29,25,CBJ,DAL,5,1,29,23,0.418182,0.581818,1.0,0.0,4,4,35,21,5,14,15,17,9,5,2,0,2,2
2025020107,2025-10-21,Delta Center,Salt Lake City,21,68,COL,UTA,3,4,33,33,0.447761,0.552239,0.0,0.5,4,2,20,28,8,19,17,21,7,4,0,1,1,2
2025020108,2025-10-22,Prudential Center,Newark,30,1,MIN,NJD,1,4,31,35,0.534483,0.465517,0.0,0.5,4,6,25,8,20,19,9,15,4,5,0,1,3,2
2025020109,2025-10-22,KeyBank Center,Buffalo,17,7,DET,BUF,2,4,31,31,0.547945,0.452055,0.0,0.2,10,4,15,19,15,18,12,10,4,3,0,1,2,5
2025020110,2025-10-22,Scotiabank Saddledome,Calgary,8,20,MTL,CGY,2,1,28,37,0.47541,0.52459,0.333333,0.0,10,6,17,23,25,13,13,12,6,3,1,0,3,5
2025020111,2025-10-23,TD Garden,Boston,24,6,ANA,BOS,7,5,30,42,0.42029,0.57971,0.333333,1.0,9,11,17,18,22,15,20,18,1,4,1,2,3,2
2025020112,2025-10-23,Canadian Tire Centre,Ottawa,4,9,PHI,OTT,1,2,23,33,0.55814,0.44186,0.0,0.0,12,8,21,17,16,16,12,11,4,3,0,0,3,5
2025020113,2025-10-23,Benchmark International Arena,Tampa,16,14,CHI,TBL,3,2,25,31,0.392157,0.607843,0.2,0.0,8,12,18,18,15,7,14,12,2,4,1,0,5,4
2025020114,2025-10-23,Amerant Bank Arena,Sunrise,5,13,PIT,FLA,5,3,17,37,0.530303,0.469697,1.0,0.666667,8,6,18,26,19,9,13,10,9,4,2,2,2,3
2025020115,2025-10-23,UBS Arena,Elmont,17,2,DET,NYI,2,7,34,30,0.454545,0.545455,0.2,0.0,18,32,28,14,11,22,9,10,2,6,1,0,5,3
2025020116,2025-10-23,Madison Square Garden,New York,28,3,SJS,NYR,6,5,24,28,0.448276,0.551724,0.2,0.25,13,15,26,24,19,10,22,12,1,3,1,1,5,4
2025020117,2025-10-23,Enterprise Center,St. Louis,68,19,UTA,STL,7,4,25,20,0.459016,0.540984,0.5,0.25,12,12,15,32,9,5,17,15,3,4,2,1,4,4
2025020118,2025-10-23,Bridgestone Arena,Nashville,23,18,VAN,NSH,1,2,22,35,0.404255,0.595745,0.0,0.0,6,10,25,21,20,19,13,10,3,8,0,0,5,3
2025020119,2025-10-23,American Airlines Center,Dallas,26,25,LAK,DAL,3,2,25,31,0.597015,0.402985,0.333333,0.4,10,6,14,18,16,14,20,15,5,5,1,2,3,5
2025020120,2025-10-23,Canada Life Centre,Winnipeg,55,52,SEA,WPG,3,0,28,32,0.45614,0.54386,0.0,0.0,16,12,13,30,14,14,16,24,6,2,0,0,1,3
2025020121,2025-10-23,Ball Arena,Denver,12,21,CAR,COL,5,4,31,48,0.452055,0.547945,0.0,0.125,20,14,19,28,12,12,12,10,4,5,0,1,5,8
2025020122,2025-10-23,Rogers Place,Edmonton,8,22,MTL,EDM,5,6,27,29,0.368421,0.631579,0.0,0.4,20,2,15,15,16,19,14,12,6,3,0,2,1,5
2025020123,2025-10-24,KeyBank Center,Buffalo,10,7,TOR,BUF,3,5,34,30,0.583333,0.416667,0.25,0.0,4,10,30,8,13,21,18,13,7,3,1,0,4,2
2025020124,2025-10-24,Prudential Center,Newark,28,1,SJS,NJD,1,3,17,29,0.545455,0.454545,0.25,0.4,10,8,11,22,21,18,13,12,2,5,1,2,4,5
2025020125,2025-10-24,Nationwide Arena,Columbus,15,29,WSH,CBJ,5,1,30,35,0.531915,0.468085,0.4,0.0,6,9,23,25,11,7,18,12,3,4,2,0,5,3
2025020126,2025-10-24,Canada Life Centre,Winnipeg,20,52,CGY,WPG,3,5,33,32,0.393443,0.606557,0.166667,0.25,23,19,16,19,10,13,13,9,4,5,1,2,6,8
2025020127,2025-10-25,Xfinity Mobile Arena,Philadelphia,2,4,NYI,PHI,3,4,26,26,0.509091,0.490909,0.0,0.333333,20,18,24,30,10,16,15,15,3,6,0,1,2,3
2025020128,2025-10-25,TD Garden,Boston,21,6,COL,BOS,2,3,33,19,0.440678,0.559322,0.0,0.0,14,10,15,24,7,34,8,17,8,3,0,0,3,4
2025020129,2025-10-25,Benchmark International Arena,Tampa,24,14,ANA,TBL,3,4,40,33,0.479452,0.520548,0.0,0.166667,19,11,14,21,17,15,10,23,8,5,0,1,2,6
2025020130,2025-10-25,Amerant Bank Arena,Sunrise,54,13,VGK,FLA,0,3,17,26,0.54717,0.45283,0.0,0.0,8,6,25,24,21,16,20,9,5,7,0,0,2,3
2025020131,2025-10-25,Grand Casino Arena,St. Paul,68,30,UTA,MIN,6,2,41,35,0.484375,0.515625,1.0,0.25,10,4,12,32,21,9,25,20,5,2,1,1,1,4
2025020132,2025-10-25,Scotiabank Arena,Toronto,7,10,BUF,TOR,3,4,26,23,0.333333,0.666667,0.25,0.0,21,13,20,25,15,18,15,9,6,2,1,0,4,3
2025020133,2025-10-25,Little Caesars Arena,Detroit,19,17,STL,DET,4,6,29,28,0.508475,0.491525,0.5,0.333333,6,8,17,18,18,19,16,16,4,3,2,1,4,3
2025020134,2025-10-25,PPG Paints Arena,Pittsburgh,29,5,CBJ,PIT,5,4,41,31,0.461538,0.538462,0.0,0.333333,11,9,24,18,15,16,8,20,8,3,0,1,2,3
2025020135,2025-10-25,Capital One Arena,Washington,9,15,OTT,WSH,7,1,34,13,0.610169,0.389831,0.75,0.0,12,16,12,28,23,11,14,12,8,3,3,0,4,2
2025020136,2025-10-25,Rogers Arena,Vancouver,8,23,MTL,VAN,4,3,24,31,0.622951,0.377049,0.666667,0.333333,6,6,16,20,17,15,14,14,2,3,2,1,3,3
2025020137,2025-10-25,Bridgestone Arena,Nashville,26,18,LAK,NSH,4,5,40,25,0.449275,0.550725,0.0,0.0,4,6,10,23,7,19,22,15,5,9,0,0,3,2
2025020138,2025-10-25,American Airlines Center,Dallas,12,25,CAR,DAL,2,3,28,34,0.526316,0.473684,0.0,0.5,8,6,29,30,9,30,13,18,3,3,0,2,3,4
2025020139,2025-10-25,Climate Pledge Arena,Seattle,22,55,EDM,SEA,2,3,33,23,0.533333,0.466667,0.5,0.0,6,4,15,10,13,19,13,21,7,2,1,0,2,3
2025020140,2025-10-26,Prudential Center,Newark,21,1,COL,NJD,3,4,24,24,0.473684,0.526316,0.0,0.0,2,4,22,20,17,20,16,15,7,11,0,0,2,1
2025020141,2025-10-26,Benchmark International Arena,Tampa,54,14,VGK,TBL,1,2,19,28,0.5,0.5,0.0,0.0,15,11,27,19,24,14,15,17,3,2,0,0,3,5
2025020142,2025-10-26,Grand Casino Arena,St. Paul,28,30,SJS,MIN,6,5,25,33,0.525424,0.474576,1.0,0.5,8,4,22,17,18,12,18,15,5,5,2,2,2,4
2025020143,2025-10-26,Canada Life Centre,Winnipeg,68,52,UTA,WPG,3,2,32,30,0.470588,0.529412,0.25,1.0,4,10,9,25,14,13,20,16,4,3,1,1,4,1
2025020144,2025-10-26,United Center,Chicago,26,16,LAK,CHI,3,1,22,23,0.444444,0.555556,0.0,0.0,10,6,14,24,8,8,19,11,4,6,0,0,3,5
2025020145,2025-10-26,Bridgestone Arena,Nashville,25,18,DAL,NSH,3,2,28,25,0.508197,0.491803,0.2,0.5,4,10,23,29,14,6,14,16,3,4,1,1,5,2
2025020146,2025-10-26,Scotiabank Saddledome,Calgary,3,20,NYR,CGY,1,5,31,30,0.557692,0.442308,0.0,0.0,6,2,28,18,21,18,9,13,10,4,0,0,1,3
2025020147,2025-10-26,Rogers Arena,Vancouver,22,23,EDM,VAN,3,4,29,27,0.40678,0.59322,0.5,0.5,4,4,19,14,13,18,13,17,3,5,1,1,2,2
